date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:08	4485/4485	---M--	200	added ('OK')	image/png	etag:%221185-5a983bca08680%22	http://checkhasil.labparahita.com/assets/vendor/iCheck/square/blue@2x.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/iCheck/square/blue@2x.png	(from http://checkhasil.labparahita.com/assets/vendor/iCheck/square/blue.css)
18:47:08	235777/235777	---MCZ	200	added ('OK')	application/javascript	etag:%2239901-5a995436d2180-gzip%22	http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.min.js	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/jquery-ui.min.js	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:47:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:10%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_100_f5f3e5_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_100_f5f3e5_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:10%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_gloss-wave_100_ece8da_500x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_gloss-wave_100_ece8da_500x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:11%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_15_459e00_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_15_459e00_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:11%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-soft_25_67b021_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-soft_25_67b021_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:11%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_100_fafaf4_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_100_fafaf4_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:11%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_glass_55_fcf0ba_1x400.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_glass_55_fcf0ba_1x400.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:11%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-soft_95_ffedad_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-soft_95_ffedad_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:12%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_808080_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_808080_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:12%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_847e71_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_847e71_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:12%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_eeeeee_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_eeeeee_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:12%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_ffffff_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_ffffff_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:13%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_8DC262_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_8DC262_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:13%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-icons_cd0a0a_256x240.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-icons_cd0a0a_256x240.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:12	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:13%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_inset-soft_15_2b2922_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_inset-soft_15_2b2922_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:12	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:47:13%20GMT	http://checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_95_cccccc_1x100.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/images/ui-bg_highlight-hard_95_cccccc_1x100.png	(from http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css)
18:47:15	138182/138182	---M--	200	added ('OK')	image/png	etag:%2221bc6-5a34ce2795e00%22	http://checkhasil.labparahita.com/assets/img/sikil.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/img/sikil.png	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:47:17	123770/123770	---M--	200	added ('OK')	image/jpeg	etag:%221e37a-5a983bc72bfc0%22	http://checkhasil.labparahita.com/assets/vendor/AdminLTE-2.4.3/img/boxed-bg.jpg	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/AdminLTE-2.4.3/img/boxed-bg.jpg	(from http://checkhasil.labparahita.com/assets/vendor/AdminLTE-2.4.3/css/AdminLTE.min.css)
